Ranking,Empresa,Ano fiscal,UF
1,Granja Faria S.A.,2020,Santa Catarina
2,Agrogen Desenvolvimento Genético S.A.,2020,Rio Grande do Sul
3,União de Fazendas Agroindústrias S.A.,2020,Minas Gerais
4,Hendrix Genetics Ltda.,2020,São Paulo
5,Granja Pinheiros Ltda.,2020,Santa Catarina
6,Globoaves São Paulo Agroavícola Ltda.,2020,Paraná
7,Cobb-Vantress Brasil Ltda.,2020,São Paulo
8,Avícola Carminatti Ltda.,2020,Paraná
9,Aviagen América Latina Ltda.,2020,São Paulo
10,Hy-Line do Brasil Ltda.,2020,São Paulo
11,Granja Real Ltda.,2020,Paraná
12,G3 Agroavicola Ltda.,2020,Pernambuco
13,Avícola Pato Branco Ltda.,2020,Paraná
14,Planalto Postura Avicultura Ltda.,2020,Minas Gerais
15,Marco Avicultura Ltda.,2020,Paraná
